"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki"
"2004M07";"Odhod letal";"Alžirija";0
"2004M07";"Odhod letal";"Armenija";0
"2004M07";"Odhod letal";"Avstrija";2845
"2004M07";"Odhod letal";"Azerbajdžan";0
"2004M07";"Odhod letal";"Belgija";1298
"2004M07";"Odhod letal";"Belorusija";0
"2004M07";"Odhod letal";"Bolgarija";1693
"2004M07";"Odhod letal";"Bosna in Hercegovina";1225
"2004M07";"Odhod letal";"Ciper";481
"2004M07";"Odhod letal";"Èad";0
"2004M07";"Odhod letal";"Èeška republika";1043
"2004M07";"Odhod letal";"Èrna Gora";0
"2004M07";"Odhod letal";"Danska";1243
"2004M07";"Odhod letal";"Egipt";0
"2004M07";"Odhod letal";"Estonija";37
"2004M07";"Odhod letal";"Finska";0
"2004M07";"Odhod letal";"Francija";2712
"2004M07";"Odhod letal";"Gibraltar";0
"2004M07";"Odhod letal";"Grèija";7454
"2004M07";"Odhod letal";"Gruzija";0
"2004M07";"Odhod letal";"Hrvaška";2139
"2004M07";"Odhod letal";"Iran (Islamska republika)";0
"2004M07";"Odhod letal";"Irska";683
"2004M07";"Odhod letal";"Islandija";0
"2004M07";"Odhod letal";"Italija";19
"2004M07";"Odhod letal";"Izrael";2082
"2004M07";"Odhod letal";"Japonska";0
"2004M07";"Odhod letal";"Jordanija";0
"2004M07";"Odhod letal";"Južna Afrika";0
"2004M07";"Odhod letal";"Kanada";0
"2004M07";"Odhod letal";"Katar";0
"2004M07";"Odhod letal";"Kazahstan";0
"2004M07";"Odhod letal";"Kirgizistan";0
"2004M07";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M07";"Odhod letal";"Kosovo";0
"2004M07";"Odhod letal";"Kuvajt";0
"2004M07";"Odhod letal";"Latvija";0
"2004M07";"Odhod letal";"Libanon";0
"2004M07";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M07";"Odhod letal";"Litva";0
"2004M07";"Odhod letal";"Luksemburg";0
"2004M07";"Odhod letal";"Madžarska";801
"2004M07";"Odhod letal";"Severna Makedonija";3663
"2004M07";"Odhod letal";"Malta";563
"2004M07";"Odhod letal";"Maroko";0
"2004M07";"Odhod letal";"Moldavija (Republika)";0
"2004M07";"Odhod letal";"Nemèija";7402
"2004M07";"Odhod letal";"Nigerija";0
"2004M07";"Odhod letal";"Nizozemska";319
"2004M07";"Odhod letal";"Norveška";0
"2004M07";"Odhod letal";"Oman";0
"2004M07";"Odhod letal";"Pakistan";0
"2004M07";"Odhod letal";"Poljska";2
"2004M07";"Odhod letal";"Portugalska";7
"2004M07";"Odhod letal";"Romunija";640
"2004M07";"Odhod letal";"Ruska federacija";1690
"2004M07";"Odhod letal";"Saudska Arabija";0
"2004M07";"Odhod letal";"Sirska Arabska Republika";0
"2004M07";"Odhod letal";"Slovaška";0
"2004M07";"Odhod letal";"Slovenija";0
"2004M07";"Odhod letal";"Somalija";0
"2004M07";"Odhod letal";"Srbija";0
"2004M07";"Odhod letal";"Srbija in Èrna Gora";6406
"2004M07";"Odhod letal";"Sudan";0
"2004M07";"Odhod letal";"Španija";0
"2004M07";"Odhod letal";"Švedska";0
"2004M07";"Odhod letal";"Švica";1062
"2004M07";"Odhod letal";"Tanzanija";0
"2004M07";"Odhod letal";"Tunizija";3104
"2004M07";"Odhod letal";"Turèija";7518
"2004M07";"Odhod letal";"Turkmenistan";0
"2004M07";"Odhod letal";"Ukrajina";2
"2004M07";"Odhod letal";"Uzbekistan";0
"2004M07";"Odhod letal";"Združene države";0
